# E0 =  0.4490     Rays from file a015-235.ray               13 May 99  22:02:11
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
        38   0.39602   0.40752   0.41023
        39   0.38383   0.39602   0.39809
        40   0.37173   0.38383   0.38605
        41   0.35969   0.37173   0.37406
        42   0.34789   0.35969   0.36232
        43   0.33569   0.34789   0.35018
        44   0.32615   0.33569   0.33827
        45   0.31637   0.32615   0.32852
        46   0.30658   0.31637   0.31877
        47   0.29639   0.30658   0.30863
        48   0.28624   0.29639   0.29852
        49   0.27644   0.28624   0.28875
        50   0.26987   0.27644   0.27874
        51   0.26173   0.26987   0.27061
        52   0.25396   0.26173   0.26285
        53   0.24600   0.25396   0.25492
        54   0.23800   0.24600   0.24693
        55   0.23001   0.23800   0.23895
        56   0.22227   0.23001   0.23120
        57   0.21648   0.22227   0.22342
        58   0.21072   0.21648   0.21766
        59   0.20475   0.21072   0.21168
        60   0.19900   0.20475   0.20594
        61   0.19244   0.19900   0.19989
         1     .9446     .9534     .9534
         2     .9349     .9446     .9455
         3     .9227     .9349     .9356
         4     .9139     .9227     .9235
         5     .9053     .9139     .9150
         6     .8959     .9053     .9062
         7     .8880     .8959     .8972
         8     .8792     .8880     .8889
         9     .8697     .8792     .8799
        10     .8599     .8697     .8711
        11     .8496     .8599     .8608
        12     .8386     .8496     .8508
        13     .8272     .8386     .8394
        14     .8166     .8272     .8280
        15     .8092     .8166     .8180
        16     .8021     .8092     .8111
        17     .7938     .8021     .8030
        18     .7856     .7938     .7950
        19     .7765     .7856     .7861
        20     .7574     .7765     .7861
        21     .7294     .7574     .7603
        22     .7027     .7294     .7322
        23     .6780     .7027     .7057
        24     .6539     .6780     .6798
        25     .6306     .6539     .6565
        26     .6073     .6306     .6334
        27     .5881     .6073     .6101
        28     .5686     .5881     .5906
        29     .5492     .5686     .5712
        30     .5300     .5492     .5518
        31     .5099     .5300     .5321
        32     .4948     .5099     .5128
        33     .4790     .4948     .4972
        34     .4633     .4790     .4817
        35     .4477     .4633     .4662
        36     .4342     .4477     .4506
        37     .4204     .4342     .4369
        38     .4091     .4204     .4233
        39     .3971     .4091     .4114
        40     .3852     .3971     .3996
        41     .3733     .3852     .3878
        42     .3617     .3733     .3762
        43     .3496     .3617     .3642
        44     .3402     .3496     .3524
        45     .3305     .3402     .3428
        46     .3208     .3305     .3331
        47     .3107     .3208     .3231
        48     .3007     .3107     .3131
        49     .2909     .3007     .3034
        50     .2844     .2909     .2934
        51     .2763     .2844     .2853
        52     .2685     .2763     .2776
        53     .2606     .2685     .2697
        54     .2526     .2606     .2617
        55     .2446     .2526     .2537
        56     .2369     .2446     .2460
        57     .2311     .2369     .2382
        58     .2253     .2311     .2324
        59     .2192     .2253     .2264
        60     .2134     .2192     .2206
        61     .2068     .2134     .2145

