######## Translation table for ROC # 17
######## Tue Feb  3 20:05:17 EST 1998
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
REF     0       17      4       0       310     0       17      4       1190    0
REF     0       17      5       0       310     0       17      5       1190    0
REF     0       17      6       0       310     0       17      6       1190    0
REF     0       17      7       0       310     0       17      7       1190    0
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	65	0	710	0	17	6	1190	64
TAGE	1	1	66	0	710	0	17	6	1190	65
TAGE	1	1	67	0	710	0	17	6	1190	66
TAGE	1	1	68	0	710	0	17	6	1190	67
TAGE	1	1	69	0	710	0	17	6	1190	68
TAGE	1	1	70	0	710	0	17	6	1190	69
TAGE	1	1	71	0	710	0	17	6	1190	70
TAGE	1	1	72	0	710	0	17	6	1190	71
TAGE	1	1	73	0	710	0	17	6	1190	72
TAGE	1	1	74	0	710	0	17	6	1190	73
TAGE	1	1	75	0	710	0	17	6	1190	74
TAGE	1	1	76	0	710	0	17	6	1190	75
TAGE	1	1	77	0	710	0	17	6	1190	76
TAGE	1	1	78	0	710	0	17	6	1190	77
TAGE	1	1	79	0	710	0	17	6	1190	78
TAGE	1	1	80	0	710	0	17	6	1190	79
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	81	0	710	0	17	6	1190	80
TAGE	1	1	82	0	710	0	17	6	1190	81
TAGE	1	1	83	0	710	0	17	6	1190	82
TAGE	1	1	84	0	710	0	17	6	1190	83
TAGE	1	1	85	0	710	0	17	6	1190	84
TAGE	1	1	86	0	710	0	17	6	1190	85
TAGE	1	1	87	0	710	0	17	6	1190	86
TAGE	1	1	88	0	710	0	17	6	1190	87
TAGE	1	1	89	0	710	0	17	6	1190	88
TAGE	1	1	90	0	710	0	17	6	1190	89
TAGE	1	1	91	0	710	0	17	6	1190	90
TAGE	1	1	92	0	710	0	17	6	1190	91
TAGE	1	1	93	0	710	0	17	6	1190	92
TAGE	1	1	94	0	710	0	17	6	1190	93
